"","subjectID","age","gender","outcome","startKey","startRT","choiceKey","choiceRT","manipulation","trial_number"
"1",20,21,"Female","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"2",20,21,"Female","+5","39","1792","37","3650","undefined","1"
"3",20,21,"Female","-5","39","2286","37","1595","undefined","2"
"4",20,21,"Female","+5","39","717","37","1603","undefined","3"
"5",20,21,"Female","+5","39","2387","39","1174","undefined","4"
"6",20,21,"Female","-5","39","1244","37","847","undefined","5"
"7",20,21,"Female","-5","39","760","37","1196","undefined","6"
"8",20,21,"Female","-5","39","821","39","1287","undefined","7"
"9",20,21,"Female","-5","39","580","37","941","undefined","8"
"10",20,21,"Female","+5","39","888","37","1065","undefined","9"
"11",20,21,"Female","-5","39","939","37","1250","undefined","10"
"12",20,21,"Female","-5","39","541","37","1287","undefined","11"
"13",20,21,"Female","-5","37","720","37","490","undefined","12"
"14",20,21,"Female","+5","39","829","39","870","undefined","13"
"15",20,21,"Female","+5","39","424","39","634","undefined","14"
"16",20,21,"Female","-5","39","410","39","500","undefined","15"
"17",20,21,"Female","-5","39","506","39","964","undefined","16"
"18",20,21,"Female","+5","39","408","37","784","undefined","17"
"19",20,21,"Female","-5","39","494","39","1165","undefined","18"
"20",20,21,"Female","+5","37","749","37","3768","undefined","19"
"21",20,21,"Female","-5","37","499","37","801","undefined","20"
"22",20,21,"Female","+5","37","620","39","1895","undefined","21"
"23",20,21,"Female","-5","39","527","37","1715","undefined","22"
"24",20,21,"Female","-5","39","631","39","1158","undefined","23"
"25",20,21,"Female","+5","39","164","37","1090","undefined","24"
"26",20,21,"Female","-5","37","484","37","962","undefined","25"
"27",20,21,"Female","+5","39","664","39","972","undefined","26"
"28",20,21,"Female","-5","39","523","37","581","undefined","27"
"29",20,21,"Female","+5","39","333","39","405","undefined","28"
"30",20,21,"Female","+5","39","441","39","473","undefined","29"
"31",20,21,"Female","-5","39","428","39","636","undefined","30"
"32",20,21,"Female","-5","39","10","37","553","undefined","31"
"33",20,21,"Female","+5","39","105","39","557","undefined","32"
"34",20,21,"Female","-5","39","495","39","584","undefined","33"
"35",20,21,"Female","+5","39","754","37","805","undefined","34"
"36",20,21,"Female","-5","39","1541","37","1036","undefined","35"
"37",20,21,"Female","-5","39","416","39","1955","undefined","36"
"38",20,21,"Female","-5","39","714","37","2508","undefined","37"
"39",20,21,"Female","-5","39","434","37","1012","undefined","38"
"40",20,21,"Female","+5","39","576","37","1096","undefined","39"
"41",20,21,"Female","-5","39","533","39","1002","undefined","40"
"42",20,21,"Female","-5","39","404","39","797","undefined","41"
"43",20,21,"Female","-5","39","559","37","527","undefined","42"
"44",20,21,"Female","+5","37","495","37","1817","undefined","43"
"45",20,21,"Female","+5","37","419","37","1554","undefined","44"
"46",20,21,"Female","-5","39","694","39","724","undefined","45"
"47",20,21,"Female","-5","39","613","39","548","undefined","46"
"48",20,21,"Female","+5","39","447","39","1140","undefined","47"
"49",20,21,"Female","-5","39","458","39","1375","undefined","48"
"50",20,21,"Female","-5","39","665","37","1480","undefined","49"
"51",20,21,"Female","+5","37","387","37","776","undefined","50"
"52",20,21,"Female","-5","37","336","37","752","undefined","51"
"53",20,21,"Female","+5","37","551","37","685","undefined","52"
"54",20,21,"Female","+5","37","645","39","836","undefined","53"
"55",20,21,"Female","-5","39","137","37","1325","undefined","54"
"56",20,21,"Female","+5","39","648","39","913","undefined","55"
"57",20,21,"Female","-5","39","491","39","520","undefined","56"
"58",20,21,"Female","+5","39","498","39","1106","undefined","57"
"59",20,21,"Female","-5","39","454","39","1053","undefined","58"
"60",20,21,"Female","-5","39","502","37","604","undefined","59"
"61",20,21,"Female","+5","37","283","37","652","undefined","60"
"62",20,21,"Female","+5","37","625","37","1288","undefined","61"
"63",20,21,"Female","-5","37","443","37","668","undefined","62"
"64",20,21,"Female","+5","37","333","37","450","undefined","63"
"65",20,21,"Female","+5","37","831","37","934","undefined","64"
"66",20,21,"Female","-5","37","811","39","904","undefined","65"
"67",20,21,"Female","-5","39","989","39","562","undefined","66"
"68",20,21,"Female","-5","39","1494","39","897","undefined","67"
"69",20,21,"Female","-5","39","603","37","747","undefined","68"
"70",20,21,"Female","+5","37","387","37","460","undefined","69"
"71",20,21,"Female","-5","39","415","39","720","undefined","70"
