"","subjectID","age","gender","outcome","startKey","startRT","choiceKey","choiceRT","manipulation","trial_number"
"1",47,18,"Female","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"2",47,18,"Female","+5","40","2826","37","2315","undefined","1"
"3",47,18,"Female","-5","39","2977","39","399","undefined","2"
"4",47,18,"Female","+5","39","1862","39","359","undefined","3"
"5",47,18,"Female","+5","37","1336","37","554","undefined","4"
"6",47,18,"Female","-5","39","1360","37","408","undefined","5"
"7",47,18,"Female","-5","39","709","37","362","undefined","6"
"8",47,18,"Female","-5","39","609","37","322","undefined","7"
"9",47,18,"Female","-5","39","421","37","332","undefined","8"
"10",47,18,"Female","+5","39","725","39","286","undefined","9"
"11",47,18,"Female","-5","39","927","39","297","undefined","10"
"12",47,18,"Female","-5","37","239","37","308","undefined","11"
"13",47,18,"Female","-5","39","317","39","329","undefined","12"
"14",47,18,"Female","+5","39","254","39","279","undefined","13"
"15",47,18,"Female","+5","39","218","39","338","undefined","14"
"16",47,18,"Female","-5","39","235","37","322","undefined","15"
"17",47,18,"Female","-5","39","156","37","357","undefined","16"
"18",47,18,"Female","+5","39","185","37","321","undefined","17"
"19",47,18,"Female","-5","39","286","39","251","undefined","18"
"20",47,18,"Female","+5","37","212","37","432","undefined","19"
"21",47,18,"Female","-5","37","556","37","802","undefined","20"
"22",47,18,"Female","+5","37","308","39","322","undefined","21"
"23",47,18,"Female","-5","37","360","37","429","undefined","22"
"24",47,18,"Female","-5","37","152","37","310","undefined","23"
"25",47,18,"Female","+5","37","81","37","296","undefined","24"
"26",47,18,"Female","-5","37","706","39","406","undefined","25"
"27",47,18,"Female","+5","37","626","37","419","undefined","26"
"28",47,18,"Female","-5","37","853","37","420","undefined","27"
"29",47,18,"Female","+5","39","385","39","400","undefined","28"
"30",47,18,"Female","+5","39","228","39","291","undefined","29"
"31",47,18,"Female","-5","39","77","39","372","undefined","30"
"32",47,18,"Female","-5","39","158","37","336","undefined","31"
"33",47,18,"Female","+5","39","11","39","481","undefined","32"
"34",47,18,"Female","-5","39","165","37","332","undefined","33"
"35",47,18,"Female","+5","39","1115","39","398","undefined","34"
"36",47,18,"Female","-5","39","791","39","420","undefined","35"
"37",47,18,"Female","-5","39","405","39","663","undefined","36"
"38",47,18,"Female","-5","37","230","37","335","undefined","37"
"39",47,18,"Female","-5","37","235","37","342","undefined","38"
