"","subjectID","age","gender","outcome","startKey","startRT","choiceKey","choiceRT","manipulation","trial_number"
"1",33,18,"Female","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"2",33,18,"Female","+5","39","1363","39","878","undefined","1"
"3",33,18,"Female","-5","39","2221","37","798","undefined","2"
"4",33,18,"Female","+5","39","1054","37","1063","undefined","3"
"5",33,18,"Female","+5","39","1708","39","833","undefined","4"
"6",33,18,"Female","-5","39","1074","39","759","undefined","5"
"7",33,18,"Female","-5","39","629","39","958","undefined","6"
"8",33,18,"Female","-5","37","1431","37","679","undefined","7"
"9",33,18,"Female","-5","39","1142","39","1082","undefined","8"
"10",33,18,"Female","+5","39","748","37","600","undefined","9"
"11",33,18,"Female","-5","37","1340","37","1485","undefined","10"
"12",33,18,"Female","-5","37","835","39","469","undefined","11"
"13",33,18,"Female","-5","37","925","37","470","undefined","12"
"14",33,18,"Female","+5","39","725","39","447","undefined","13"
"15",33,18,"Female","+5","39","733","39","388","undefined","14"
"16",33,18,"Female","-5","39","594","39","450","undefined","15"
"17",33,18,"Female","-5","37","488","37","499","undefined","16"
"18",33,18,"Female","+5","37","375","37","372","undefined","17"
"19",33,18,"Female","-5","37","919","37","550","undefined","18"
"20",33,18,"Female","+5","37","68","37","858","undefined","19"
"21",33,18,"Female","-5","37","863","37","859","undefined","20"
"22",33,18,"Female","+5","39","625","39","1351","undefined","21"
"23",33,18,"Female","-5","39","570","37","1269","undefined","22"
"24",33,18,"Female","-5","39","587","39","1605","undefined","23"
"25",33,18,"Female","+5","37","895","39","698","undefined","24"
"26",33,18,"Female","-5","39","604","39","2035","undefined","25"
"27",33,18,"Female","+5","39","481","37","1239","undefined","26"
"28",33,18,"Female","-5","37","729","37","1394","undefined","27"
"29",33,18,"Female","+5","39","1525","37","2354","undefined","28"
"30",33,18,"Female","+5","39","1041","37","1180","undefined","29"
"31",33,18,"Female","-5","39","506","39","941","undefined","30"
"32",33,18,"Female","-5","39","545","39","1322","undefined","31"
"33",33,18,"Female","+5","37","490","39","1530","undefined","32"
"34",33,18,"Female","-5","39","494","37","1456","undefined","33"
"35",33,18,"Female","+5","39","800","39","911","undefined","34"
"36",33,18,"Female","-5","39","572","37","870","undefined","35"
"37",33,18,"Female","-5","37","824","37","1132","undefined","36"
"38",33,18,"Female","-5","37","743","39","941","undefined","37"
"39",33,18,"Female","-5","37","382","37","700","undefined","38"
"40",33,18,"Female","+5","39","581","39","601","undefined","39"
"41",33,18,"Female","-5","39","676","39","993","undefined","40"
"42",33,18,"Female","-5","39","695","37","591","undefined","41"
"43",33,18,"Female","-5","39","537","39","530","undefined","42"
