"","subjectID","age","gender","outcome","startKey","startRT","choiceKey","choiceRT","manipulation","trial_number"
"1",13,26,"Female","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"2",13,26,"Female","+5","39","1195","39","3611","undefined","1"
"3",13,26,"Female","-5","39","1513","39","1324","undefined","2"
"4",13,26,"Female","+5","39","1525","37","1974","undefined","3"
"5",13,26,"Female","+5","39","1423","39","924","undefined","4"
"6",13,26,"Female","-5","39","2159","37","672","undefined","5"
"7",13,26,"Female","-5","39","882","39","748","undefined","6"
"8",13,26,"Female","-5","39","1102","39","493","undefined","7"
"9",13,26,"Female","-5","39","624","37","398","undefined","8"
"10",13,26,"Female","+5","39","892","39","1033","undefined","9"
"11",13,26,"Female","-5","39","948","39","631","undefined","10"
"12",13,26,"Female","-5","39","634","37","419","undefined","11"
"13",13,26,"Female","-5","39","431","39","344","undefined","12"
"14",13,26,"Female","+5","39","632","39","365","undefined","13"
"15",13,26,"Female","+5","39","511","39","1017","undefined","14"
"16",13,26,"Female","-5","39","654","39","829","undefined","15"
"17",13,26,"Female","-5","39","549","39","832","undefined","16"
"18",13,26,"Female","+5","39","421","37","403","undefined","17"
"19",13,26,"Female","-5","39","365","37","470","undefined","18"
"20",13,26,"Female","+5","39","439","37","1526","undefined","19"
"21",13,26,"Female","-5","39","592","37","1003","undefined","20"
"22",13,26,"Female","+5","39","351","37","984","undefined","21"
"23",13,26,"Female","-5","39","338","39","482","undefined","22"
"24",13,26,"Female","-5","39","158","39","1260","undefined","23"
"25",13,26,"Female","+5","39","82","37","602","undefined","24"
"26",13,26,"Female","-5","37","1033","37","473","undefined","25"
"27",13,26,"Female","+5","37","1161","37","613","undefined","26"
"28",13,26,"Female","-5","37","922","39","815","undefined","27"
"29",13,26,"Female","+5","37","909","37","458","undefined","28"
"30",13,26,"Female","+5","37","574","37","379","undefined","29"
"31",13,26,"Female","-5","37","1223","39","858","undefined","30"
"32",13,26,"Female","-5","39","493","37","480","undefined","31"
"33",13,26,"Female","+5","37","961","37","464","undefined","32"
"34",13,26,"Female","-5","37","582","37","440","undefined","33"
"35",13,26,"Female","+5","37","1393","37","603","undefined","34"
"36",13,26,"Female","-5","37","558","39","2503","undefined","35"
"37",13,26,"Female","-5","39","1606","37","835","undefined","36"
"38",13,26,"Female","-5","39","424","39","877","undefined","37"
"39",13,26,"Female","-5","39","488","39","1199","undefined","38"
"40",13,26,"Female","+5","37","681","37","444","undefined","39"
"41",13,26,"Female","-5","37","407","37","430","undefined","40"
"42",13,26,"Female","-5","37","412","37","1029","undefined","41"
"43",13,26,"Female","-5","37","428","39","351","undefined","42"
"44",13,26,"Female","+5","37","736","37","398","undefined","43"
"45",13,26,"Female","+5","37","390","37","705","undefined","44"
