"","subjectID","age","gender","outcome","startKey","startRT","choiceKey","choiceRT","manipulation","trial_number"
"1",19,19,"Female","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"2",19,19,"Female","+5","39","2273","37","1311","undefined","1"
"3",19,19,"Female","-5","39","2919","39","1405","undefined","2"
"4",19,19,"Female","+5","39","2411","39","1234","undefined","3"
"5",19,19,"Female","+5","39","1868","37","1417","undefined","4"
"6",19,19,"Female","-5","39","1375","37","917","undefined","5"
"7",19,19,"Female","-5","39","1364","37","1756","undefined","6"
"8",19,19,"Female","-5","39","818","37","1822","undefined","7"
"9",19,19,"Female","-5","39","561","39","671","undefined","8"
"10",19,19,"Female","+5","39","1086","39","1360","undefined","9"
"11",19,19,"Female","-5","39","727","39","1533","undefined","10"
"12",19,19,"Female","-5","39","336","37","649","undefined","11"
"13",19,19,"Female","-5","39","2919","37","1123","undefined","12"
"14",19,19,"Female","+5","39","1140","39","819","undefined","13"
"15",19,19,"Female","+5","39","662","39","858","undefined","14"
"16",19,19,"Female","-5","39","746","37","709","undefined","15"
"17",19,19,"Female","-5","39","857","39","619","undefined","16"
"18",19,19,"Female","+5","39","729","37","802","undefined","17"
"19",19,19,"Female","-5","39","682","39","1114","undefined","18"
"20",19,19,"Female","+5","39","642","39","907","undefined","19"
"21",19,19,"Female","-5","39","589","37","952","undefined","20"
"22",19,19,"Female","+5","39","265","39","532","undefined","21"
"23",19,19,"Female","-5","37","333","39","722","undefined","22"
"24",19,19,"Female","-5","39","2698","39","1174","undefined","23"
"25",19,19,"Female","+5","39","1091","37","499","undefined","24"
"26",19,19,"Female","-5","39","535","37","767","undefined","25"
"27",19,19,"Female","+5","39","567","39","1030","undefined","26"
"28",19,19,"Female","-5","39","665","39","503","undefined","27"
"29",19,19,"Female","+5","39","409","39","535","undefined","28"
"30",19,19,"Female","+5","39","798","37","494","undefined","29"
"31",19,19,"Female","-5","39","722","39","540","undefined","30"
"32",19,19,"Female","-5","39","587","37","559","undefined","31"
"33",19,19,"Female","+5","39","651","37","523","undefined","32"
"34",19,19,"Female","-5","39","592","37","701","undefined","33"
"35",19,19,"Female","+5","39","3874","39","542","undefined","34"
"36",19,19,"Female","-5","39","813","37","799","undefined","35"
"37",19,19,"Female","-5","39","288","39","593","undefined","36"
"38",19,19,"Female","-5","37","904","37","413","undefined","37"
"39",19,19,"Female","-5","39","430","37","331","undefined","38"
"40",19,19,"Female","+5","39","1667","39","421","undefined","39"
"41",19,19,"Female","-5","39","779","39","561","undefined","40"
"42",19,19,"Female","-5","37","1691","37","611","undefined","41"
"43",19,19,"Female","-5","39","763","39","811","undefined","42"
"44",19,19,"Female","+5","39","641","37","570","undefined","43"
"45",19,19,"Female","+5","39","600","39","680","undefined","44"
"46",19,19,"Female","-5","39","805","37","1047","undefined","45"
"47",19,19,"Female","-5","39","304","39","914","undefined","46"
"48",19,19,"Female","+5","39","571","39","687","undefined","47"
"49",19,19,"Female","-5","39","876","37","1096","undefined","48"
"50",19,19,"Female","-5","39","729","37","1146","undefined","49"
"51",19,19,"Female","+5","39","877","37","1280","undefined","50"
"52",19,19,"Female","-5","39","1052","37","654","undefined","51"
"53",19,19,"Female","+5","39","2040","39","725","undefined","52"
"54",19,19,"Female","+5","39","654","39","624","undefined","53"
"55",19,19,"Female","-5","39","954","39","1007","undefined","54"
"56",19,19,"Female","+5","39","651","39","1177","undefined","55"
"57",19,19,"Female","-5","39","967","39","748","undefined","56"
"58",19,19,"Female","+5","39","1408","39","1212","undefined","57"
"59",19,19,"Female","-5","39","1115","37","910","undefined","58"
"60",19,19,"Female","-5","39","1149","37","1191","undefined","59"
"61",19,19,"Female","+5","39","517","39","866","undefined","60"
"62",19,19,"Female","+5","39","1352","39","1179","undefined","61"
"63",19,19,"Female","-5","39","885","37","1413","undefined","62"
"64",19,19,"Female","+5","39","642","39","838","undefined","63"
"65",19,19,"Female","+5","39","1280","39","901","undefined","64"
"66",19,19,"Female","-5","39","677","37","1213","undefined","65"
"67",19,19,"Female","-5","39","676","37","1079","undefined","66"
"68",19,19,"Female","-5","39","756","39","774","undefined","67"
"69",19,19,"Female","-5","39","660","37","1788","undefined","68"
"70",19,19,"Female","+5","39","326","39","1243","undefined","69"
"71",19,19,"Female","-5","39","1311","39","931","undefined","70"
"72",19,19,"Female","-5","39","648","39","855","undefined","71"
"73",19,19,"Female","-5","39","571","39","1725","undefined","72"
"74",19,19,"Female","+5","39","592","37","1001","undefined","73"
"75",19,19,"Female","+5","39","463","39","1889","undefined","74"
"76",19,19,"Female","-5","39","626","37","1141","undefined","75"
"77",19,19,"Female","-5","39","521","37","1047","undefined","76"
"78",19,19,"Female","+5","39","379","39","1200","undefined","77"
"79",19,19,"Female","-5","39","810","39","2136","undefined","78"
"80",19,19,"Female","+5","39","540","37","787","undefined","79"
"81",19,19,"Female","-5","39","800","37","585","undefined","80"
"82",19,19,"Female","+5","39","762","39","628","undefined","81"
"83",19,19,"Female","-5","39","615","37","812","undefined","82"
"84",19,19,"Female","-5","39","339","39","1129","undefined","83"
"85",19,19,"Female","+5","39","623","39","1026","undefined","84"
"86",19,19,"Female","-5","39","681","37","863","undefined","85"
"87",19,19,"Female","+5","39","710","37","1454","undefined","86"
"88",19,19,"Female","-5","39","664","37","830","undefined","87"
"89",19,19,"Female","+5","39","1463","37","1101","undefined","88"
"90",19,19,"Female","+5","39","613","37","699","undefined","89"
"91",19,19,"Female","-5","39","773","39","927","undefined","90"
"92",19,19,"Female","-5","39","383","39","1138","undefined","91"
"93",19,19,"Female","+5","39","731","37","693","undefined","92"
"94",19,19,"Female","-5","39","316","39","1053","undefined","93"
"95",19,19,"Female","+5","39","958","39","963","undefined","94"
"96",19,19,"Female","-5","39","1487","37","966","undefined","95"
"97",19,19,"Female","-5","39","572","39","1428","undefined","96"
"98",19,19,"Female","-5","39","1437","39","867","undefined","97"
"99",19,19,"Female","-5","39","1244","39","1245","undefined","98"
"100",19,19,"Female","+5","39","814","37","993","undefined","99"
"101",19,19,"Female","-5","39","844","37","738","undefined","100"
"102",19,19,"Female","-5","39","765","39","916","undefined","101"
"103",19,19,"Female","-5","39","1221","39","806","undefined","102"
"104",19,19,"Female","+5","39","1084","37","989","undefined","103"
"105",19,19,"Female","+5","39","700","37","1013","undefined","104"
"106",19,19,"Female","-5","39","758","37","551","undefined","105"
"107",19,19,"Female","-5","39","578","39","921","undefined","106"
"108",19,19,"Female","+5","39","691","39","1699","undefined","107"
"109",19,19,"Female","-5","39","609","37","1526","undefined","108"
"110",19,19,"Female","-5","39","735","39","608","undefined","109"
"111",19,19,"Female","+5","39","777","37","488","undefined","110"
"112",19,19,"Female","-5","39","396","39","422","undefined","111"
"113",19,19,"Female","+5","37","401","37","588","undefined","112"
"114",19,19,"Female","+5","37","771","37","391","undefined","113"
