"","subjectID","age","gender","outcome","startKey","startRT","choiceKey","choiceRT","manipulation","trial_number"
"1",97,20,"Male","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"2",97,20,"Male","+5","39","1091","37","789","undefined","1"
"3",97,20,"Male","-5","37","1275","39","643","undefined","2"
"4",97,20,"Male","+5","39","625","37","399","undefined","3"
"5",97,20,"Male","+5","37","677","37","573","undefined","4"
"6",97,20,"Male","-5","37","605","39","502","undefined","5"
"7",97,20,"Male","-5","37","275","37","312","undefined","6"
"8",97,20,"Male","-5","37","190","37","283","undefined","7"
"9",97,20,"Male","-5","37","217","37","315","undefined","8"
"10",97,20,"Male","+5","37","230","37","347","undefined","9"
"11",97,20,"Male","-5","37","487","39","295","undefined","10"
"12",97,20,"Male","-5","37","252","37","280","undefined","11"
"13",97,20,"Male","-5","37","134","37","214","undefined","12"
"14",97,20,"Male","+5","37","167","37","190","undefined","13"
"15",97,20,"Male","+5","37","230","37","231","undefined","14"
"16",97,20,"Male","-5","37","109","37","199","undefined","15"
"17",97,20,"Male","-5","39","237","39","198","undefined","16"
"18",97,20,"Male","+5","37","275","37","177","undefined","17"
"19",97,20,"Male","-5","37","267","37","236","undefined","18"
"20",97,20,"Male","+5","37","245","37","185","undefined","19"
"21",97,20,"Male","-5","37","137","37","207","undefined","20"
"22",97,20,"Male","+5","37","35","37","419","undefined","21"
"23",97,20,"Male","-5","37","481","37","293","undefined","22"
"24",97,20,"Male","-5","37","172","37","381","undefined","23"
"25",97,20,"Male","+5","37","12","37","250","undefined","24"
"26",97,20,"Male","-5","39","12","39","227","undefined","25"
"27",97,20,"Male","+5","39","10","39","220","undefined","26"
"28",97,20,"Male","-5","39","369","39","158","undefined","27"
"29",97,20,"Male","+5","37","179","37","171","undefined","28"
"30",97,20,"Male","+5","37","194","37","352","undefined","29"
"31",97,20,"Male","-5","39","240","39","234","undefined","30"
"32",97,20,"Male","-5","39","99","39","522","undefined","31"
"33",97,20,"Male","+5","39","99","39","331","undefined","32"
"34",97,20,"Male","-5","39","340","37","320","undefined","33"
"35",97,20,"Male","+5","37","143","37","201","undefined","34"
"36",97,20,"Male","-5","37","68","37","153","undefined","35"
"37",97,20,"Male","-5","39","126","39","201","undefined","36"
"38",97,20,"Male","-5","39","193","39","406","undefined","37"
"39",97,20,"Male","-5","37","98","37","187","undefined","38"
"40",97,20,"Male","+5","37","166","37","169","undefined","39"
"41",97,20,"Male","-5","37","225","37","166","undefined","40"
"42",97,20,"Male","-5","37","65","37","180","undefined","41"
"43",97,20,"Male","-5","39","155","39","191","undefined","42"
"44",97,20,"Male","+5","39","52","39","245","undefined","43"
"45",97,20,"Male","+5","39","36","39","190","undefined","44"
"46",97,20,"Male","-5","39","261","39","430","undefined","45"
"47",97,20,"Male","-5","37","160","37","188","undefined","46"
"48",97,20,"Male","+5","37","151","37","442","undefined","47"
"49",97,20,"Male","-5","39","69","39","209","undefined","48"
"50",97,20,"Male","-5","39","157","37","422","undefined","49"
"51",97,20,"Male","+5","37","27","39","417","undefined","50"
"52",97,20,"Male","-5","39","125","39","347","undefined","51"
"53",97,20,"Male","+5","39","15","37","231","undefined","52"
"54",97,20,"Male","+5","37","117","37","387","undefined","53"
"55",97,20,"Male","-5","37","59","39","130","undefined","54"
"56",97,20,"Male","+5","39","173","39","346","undefined","55"
"57",97,20,"Male","-5","39","104","39","200","undefined","56"
"58",97,20,"Male","+5","37","108","37","185","undefined","57"
"59",97,20,"Male","-5","37","211","37","176","undefined","58"
"60",97,20,"Male","-5","39","1","39","214","undefined","59"
"61",97,20,"Male","+5","39","10","39","196","undefined","60"
"62",97,20,"Male","+5","39","175","39","377","undefined","61"
"63",97,20,"Male","-5","39","128","39","172","undefined","62"
"64",97,20,"Male","+5","39","105","39","387","undefined","63"
"65",97,20,"Male","+5","37","405","37","644","undefined","64"
"66",97,20,"Male","-5","39","130","39","606","undefined","65"
