"","subjectID","age","gender","outcome","startKey","startRT","choiceKey","choiceRT","manipulation","trial_number"
"1",95,18,"Female","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"2",95,18,"Female","+5","39","1403","37","2582","undefined","1"
"3",95,18,"Female","-5","40","2282","37","2996","undefined","2"
"4",95,18,"Female","+5","40","985","39","733","undefined","3"
"5",95,18,"Female","+5","40","1596","37","820","undefined","4"
"6",95,18,"Female","-5","40","2689","37","928","undefined","5"
"7",95,18,"Female","-5","40","897","37","632","undefined","6"
"8",95,18,"Female","-5","40","1487","39","1026","undefined","7"
"9",95,18,"Female","-5","40","688","39","683","undefined","8"
"10",95,18,"Female","+5","40","1174","39","1170","undefined","9"
"11",95,18,"Female","-5","40","838","37","1531","undefined","10"
"12",95,18,"Female","-5","40","1058","39","1326","undefined","11"
"13",95,18,"Female","-5","40","2621","39","916","undefined","12"
"14",95,18,"Female","+5","40","636","37","1186","undefined","13"
"15",95,18,"Female","+5","40","1485","37","1652","undefined","14"
"16",95,18,"Female","-5","40","764","37","1355","undefined","15"
"17",95,18,"Female","-5","40","686","37","889","undefined","16"
"18",95,18,"Female","+5","40","438","39","449","undefined","17"
"19",95,18,"Female","-5","40","1703","39","669","undefined","18"
"20",95,18,"Female","+5","40","485","39","2029","undefined","19"
"21",95,18,"Female","-5","40","898","37","2013","undefined","20"
"22",95,18,"Female","+5","40","485","39","1893","undefined","21"
"23",95,18,"Female","-5","40","1566","39","777","undefined","22"
"24",95,18,"Female","-5","40","835","37","1630","undefined","23"
"25",95,18,"Female","+5","40","1228","37","1312","undefined","24"
"26",95,18,"Female","-5","40","546","39","683","undefined","25"
"27",95,18,"Female","+5","40","399","39","1109","undefined","26"
"28",95,18,"Female","-5","40","566","39","1466","undefined","27"
"29",95,18,"Female","+5","40","814","39","1176","undefined","28"
"30",95,18,"Female","+5","40","449","37","622","undefined","29"
"31",95,18,"Female","-5","40","713","39","796","undefined","30"
"32",95,18,"Female","-5","40","402","39","1056","undefined","31"
"33",95,18,"Female","+5","40","517","37","599","undefined","32"
"34",95,18,"Female","-5","40","862","37","620","undefined","33"
"35",95,18,"Female","+5","40","1011","39","980","undefined","34"
"36",95,18,"Female","-5","40","829","37","833","undefined","35"
"37",95,18,"Female","-5","40","300","37","596","undefined","36"
"38",95,18,"Female","-5","40","592","39","510","undefined","37"
"39",95,18,"Female","-5","40","693","39","1008","undefined","38"
"40",95,18,"Female","+5","40","386","37","453","undefined","39"
"41",95,18,"Female","-5","40","502","37","1142","undefined","40"
"42",95,18,"Female","-5","40","671","39","1756","undefined","41"
"43",95,18,"Female","-5","40","248","39","457","undefined","42"
"44",95,18,"Female","+5","40","349","39","979","undefined","43"
"45",95,18,"Female","+5","40","399","39","1413","undefined","44"
"46",95,18,"Female","-5","40","720","37","883","undefined","45"
"47",95,18,"Female","-5","40","400","39","700","undefined","46"
"48",95,18,"Female","+5","40","401","39","788","undefined","47"
"49",95,18,"Female","-5","40","557","39","903","undefined","48"
"50",95,18,"Female","-5","40","566","37","762","undefined","49"
"51",95,18,"Female","+5","40","577","37","1062","undefined","50"
"52",95,18,"Female","-5","40","352","39","603","undefined","51"
"53",95,18,"Female","+5","40","356","39","546","undefined","52"
"54",95,18,"Female","+5","40","424","39","706","undefined","53"
"55",95,18,"Female","-5","40","320","39","817","undefined","54"
"56",95,18,"Female","+5","40","292","39","815","undefined","55"
"57",95,18,"Female","-5","40","49","37","1271","undefined","56"
"58",95,18,"Female","+5","40","862","37","865","undefined","57"
"59",95,18,"Female","-5","40","862","39","1835","undefined","58"
"60",95,18,"Female","-5","40","333","37","1762","undefined","59"
"61",95,18,"Female","+5","40","2259","39","1060","undefined","60"
"62",95,18,"Female","+5","40","3582","39","872","undefined","61"
"63",95,18,"Female","-5","40","435","39","1309","undefined","62"
"64",95,18,"Female","+5","40","730","37","524","undefined","63"
"65",95,18,"Female","+5","40","1114","39","614","undefined","64"
"66",95,18,"Female","-5","40","541","37","1222","undefined","65"
"67",95,18,"Female","-5","40","486","37","896","undefined","66"
"68",95,18,"Female","-5","40","362","37","572","undefined","67"
"69",95,18,"Female","-5","40","321","37","453","undefined","68"
"70",95,18,"Female","+5","40","270","39","396","undefined","69"
"71",95,18,"Female","-5","40","423","39","512","undefined","70"
"72",95,18,"Female","-5","40","338","39","661","undefined","71"
"73",95,18,"Female","-5","40","441","39","547","undefined","72"
"74",95,18,"Female","+5","40","368","39","401","undefined","73"
"75",95,18,"Female","+5","40","481","37","2861","undefined","74"
"76",95,18,"Female","-5","40","605","37","3145","undefined","75"
"77",95,18,"Female","-5","40","321","39","889","undefined","76"
"78",95,18,"Female","+5","40","433","39","1325","undefined","77"
"79",95,18,"Female","-5","40","364","39","1296","undefined","78"
"80",95,18,"Female","+5","40","339","37","2215","undefined","79"
"81",95,18,"Female","-5","40","508","37","744","undefined","80"
"82",95,18,"Female","+5","40","883","39","899","undefined","81"
"83",95,18,"Female","-5","40","375","39","859","undefined","82"
"84",95,18,"Female","-5","40","350","37","537","undefined","83"
"85",95,18,"Female","+5","40","308","37","367","undefined","84"
"86",95,18,"Female","-5","40","497","37","494","undefined","85"
"87",95,18,"Female","+5","40","318","39","1050","undefined","86"
"88",95,18,"Female","-5","40","670","39","911","undefined","87"
"89",95,18,"Female","+5","40","434","39","886","undefined","88"
"90",95,18,"Female","+5","40","362","39","1186","undefined","89"
"91",95,18,"Female","-5","40","485","37","462","undefined","90"
"92",95,18,"Female","-5","40","275","37","543","undefined","91"
"93",95,18,"Female","+5","40","486","37","445","undefined","92"
"94",95,18,"Female","-5","40","710","39","785","undefined","93"
"95",95,18,"Female","+5","40","1341","39","718","undefined","94"
"96",95,18,"Female","-5","40","517","39","972","undefined","95"
"97",95,18,"Female","-5","40","346","37","564","undefined","96"
"98",95,18,"Female","-5","40","289","37","569","undefined","97"
"99",95,18,"Female","-5","40","17","37","1054","undefined","98"
"100",95,18,"Female","+5","40","776","37","626","undefined","99"
"101",95,18,"Female","-5","40","174","39","1239","undefined","100"
"102",95,18,"Female","-5","40","1703","37","385","undefined","101"
"103",95,18,"Female","-5","40","265","39","1214","undefined","102"
"104",95,18,"Female","+5","40","748","39","866","undefined","103"
"105",95,18,"Female","+5","40","300","37","615","undefined","104"
"106",95,18,"Female","-5","40","337","39","652","undefined","105"
"107",95,18,"Female","-5","40","324","37","572","undefined","106"
"108",95,18,"Female","+5","40","433","39","1079","undefined","107"
"109",95,18,"Female","-5","40","522","39","819","undefined","108"
"110",95,18,"Female","-5","40","325","37","593","undefined","109"
"111",95,18,"Female","+5","40","363","37","602","undefined","110"
"112",95,18,"Female","-5","40","520","37","816","undefined","111"
"113",95,18,"Female","+5","40","573","37","586","undefined","112"
"114",95,18,"Female","+5","40","437","39","1114","undefined","113"
"115",95,18,"Female","-5","40","1182","39","849","undefined","114"
"116",95,18,"Female","+5","37","545","37","1226","undefined","115"
"117",95,18,"Female","-5","39","1237","39","2187","undefined","116"
"118",95,18,"Female","+5","40","84","39","1376","undefined","117"
"119",95,18,"Female","-5","40","985","37","747","undefined","118"
"120",95,18,"Female","-5","39","903","37","1264","undefined","119"
"121",95,18,"Female","+5","37","1116","37","999","undefined","120"
"122",95,18,"Female","+5","40","446","37","870","undefined","121"
"123",95,18,"Female","-5","40","293","37","643","undefined","122"
"124",95,18,"Female","+5","40","271","39","838","undefined","123"
"125",95,18,"Female","undefined","undefined","undefined","undefined","undefined","no","undefined"
